customer_id,customer_name,books
1,Johanna Kling,"[{""book_id"":""9c480ab4-4dc7-455e-9284-af60a3906c5f"",""author_name"":""Yvette Koelpin-Stanton DDS"",""book_name"":""psst huzzah meh"",""lend_date"":""2023-08-31"",""days_to_return"":19}]"
2,Courtney Harvey,"[{""book_id"":""4289f532-59e8-4f28-99c3-ee0391218370"",""author_name"":""Josh Cruickshank"",""book_name"":""even geez worthwhile"",""lend_date"":""2023-08-27"",""days_to_return"":16},{""book_id"":""29867db1-6305-4f6d-9152-b24c1f81696c"",""author_name"":""Terence Littel"",""book_name"":""conductor popcorn timbale"",""lend_date"":""2023-09-02"",""days_to_return"":12},{""book_id"":""2ff6d072-9cc7-4c0b-8108-dc4e8b52e7be"",""author_name"":""Jenna Gerlach"",""book_name"":""gift amongst decent"",""lend_date"":""2023-04-12"",""days_to_return"":15},{""book_id"":""9eb414dd-8599-43a8-941d-64be8d7a2552"",""author_name"":""Robin Aufderhar"",""book_name"":""consequently across obedient"",""lend_date"":""2023-04-06"",""days_to_return"":5},{""book_id"":""04501887-b3ca-4103-8c4d-0f5aa0385720"",""author_name"":""Fernando Streich"",""book_name"":""so coolly hm"",""lend_date"":""2023-02-20"",""days_to_return"":21}]"
3,Mrs. Esther Cartwright,"[{""book_id"":""b2883074-8b3c-46f6-bc2d-93aad23050c8"",""author_name"":""Joyce Russel"",""book_name"":""gah laborer superintend"",""lend_date"":""2023-05-29"",""days_to_return"":10},{""book_id"":""c47b0e91-6401-43f3-a24d-636a4542ad71"",""author_name"":""Terrance Bogisich"",""book_name"":""each anticipate pfft"",""lend_date"":""2023-09-21"",""days_to_return"":14},{""book_id"":""e85f672d-5b35-4ce1-8f59-3b56c2a06af1"",""author_name"":""Blanche Waelchi"",""book_name"":""outmaneuver aha old-fashioned"",""lend_date"":""2023-04-30"",""days_to_return"":16},{""book_id"":""48ec4968-8ac3-4609-8a9a-f2dc29846743"",""author_name"":""Mr. Virgil Rohan IV"",""book_name"":""phew diagnosis mukluk"",""lend_date"":""2023-09-23"",""days_to_return"":28}]"
4,Lamar Swaniawski,"[{""book_id"":""c7cb726e-0fe0-45c1-a147-cc28ec53091e"",""author_name"":""Maurice Renner"",""book_name"":""gah different quiver"",""lend_date"":""2023-08-30"",""days_to_return"":6},{""book_id"":""84ce9fa3-96ba-4cc3-82be-76063010f2c5"",""author_name"":""Rachel Johns"",""book_name"":""meh decimalise under"",""lend_date"":""2023-02-02"",""days_to_return"":6},{""book_id"":""651d6fe5-0c98-47b3-8a69-6ce7da346fe0"",""author_name"":""Marion Stark"",""book_name"":""aluminum concerning gadzooks"",""lend_date"":""2023-03-25"",""days_to_return"":15}]"
5,Timmy Haley,"[{""book_id"":""7b19b1b9-fb61-4894-a1a4-58e8583ff52e"",""author_name"":""Robin Aufderhar"",""book_name"":""apportion amidst blah"",""lend_date"":""2023-04-27"",""days_to_return"":14},{""book_id"":""073ba02c-3297-458f-9c49-da54177cc35b"",""author_name"":""Terrell Harvey"",""book_name"":""excitedly elementary miserably"",""lend_date"":""2023-09-09"",""days_to_return"":26},{""book_id"":""48726fce-2c15-4b86-a087-bf299f58ed36"",""author_name"":""Robin Aufderhar"",""book_name"":""fiercely yum terribly"",""lend_date"":""2023-05-21"",""days_to_return"":16}]"
6,Dr. Perry Rippin I,"[{""book_id"":""037fcb48-a696-47f5-bee4-b969231343a0"",""author_name"":""Rene Waters"",""book_name"":""yowza ah artistic"",""lend_date"":""2023-06-04"",""days_to_return"":20},{""book_id"":""3897db51-52b4-4b5c-81e6-16f94e5a816e"",""author_name"":""Erin Cole"",""book_name"":""ew exist hidden"",""lend_date"":""2023-11-16"",""days_to_return"":21},{""book_id"":""d4e09a49-3525-4d80-a65b-811a2e5a97c9"",""author_name"":""Blanche Waelchi"",""book_name"":""lightly girlfriend malnutrition"",""lend_date"":""2023-07-17"",""days_to_return"":1},{""book_id"":""04501887-b3ca-4103-8c4d-0f5aa0385720"",""author_name"":""Fernando Streich"",""book_name"":""so coolly hm"",""lend_date"":""2023-12-05"",""days_to_return"":29}]"
7,Lewis Greenfelder,"[{""book_id"":""ae908ece-d74e-40f5-89a3-a871bbd92938"",""author_name"":""Orville Stiedemann"",""book_name"":""failing mmm glamorous"",""lend_date"":""2024-01-10"",""days_to_return"":8},{""book_id"":""037fcb48-a696-47f5-bee4-b969231343a0"",""author_name"":""Rene Waters"",""book_name"":""yowza ah artistic"",""lend_date"":""2023-11-17"",""days_to_return"":25},{""book_id"":""ae908ece-d74e-40f5-89a3-a871bbd92938"",""author_name"":""Orville Stiedemann"",""book_name"":""failing mmm glamorous"",""lend_date"":""2023-10-23"",""days_to_return"":30},{""book_id"":""48726fce-2c15-4b86-a087-bf299f58ed36"",""author_name"":""Robin Aufderhar"",""book_name"":""fiercely yum terribly"",""lend_date"":""2023-08-17"",""days_to_return"":20},{""book_id"":""5690ad39-f339-4204-9ab2-dafe59744bc9"",""author_name"":""Randy Macejkovic"",""book_name"":""unlined swank archive"",""lend_date"":""2023-07-25"",""days_to_return"":2}]"
8,Iris Gutmann,"[{""book_id"":""651d6fe5-0c98-47b3-8a69-6ce7da346fe0"",""author_name"":""Marion Stark"",""book_name"":""aluminum concerning gadzooks"",""lend_date"":""2023-04-28"",""days_to_return"":3},{""book_id"":""b2883074-8b3c-46f6-bc2d-93aad23050c8"",""author_name"":""Joyce Russel"",""book_name"":""gah laborer superintend"",""lend_date"":""2023-08-01"",""days_to_return"":24}]"
9,Garry Kuphal,"[]"
10,Cornelius Conroy DDS,"[{""book_id"":""9a88d854-8f9a-4e39-bf82-d9b5e14178e7"",""author_name"":""Marta Terry"",""book_name"":""smoggy lest as"",""lend_date"":""2023-05-08"",""days_to_return"":11},{""book_id"":""2f230fc3-5cad-4d9e-a960-7e1f778a3865"",""author_name"":""Maureen White"",""book_name"":""whenever upliftingly professor"",""lend_date"":""2023-09-14"",""days_to_return"":10},{""book_id"":""07db4fb0-8a2b-4606-a525-b764aec51300"",""author_name"":""Maureen White"",""book_name"":""but quarrelsomely swank"",""lend_date"":""2023-12-11"",""days_to_return"":23},{""book_id"":""04501887-b3ca-4103-8c4d-0f5aa0385720"",""author_name"":""Fernando Streich"",""book_name"":""so coolly hm"",""lend_date"":""2023-12-02"",""days_to_return"":15},{""book_id"":""b05581a2-8704-44fa-af6b-f2f8ade25279"",""author_name"":""Earl Carroll"",""book_name"":""apud beautiful pish"",""lend_date"":""2024-01-22"",""days_to_return"":12}]"
